sep=,,,,,,
time (source1),data.0,data.1,data.2,data.3,data.4,
0,447.91,-4.014,75.542,44.464,87.748,
0.091,448.03,-4.614,76.142,43.564,87.844,
0.21,448.14,-4.014,74.942,44.164,87.079,
0.324,448.25,-4.464,74.942,44.764,87.407,
0.493,448.42,-4.464,75.242,45.364,87.972,
0.601,448.53,-3.564,75.392,44.164,87.447,
0.708,448.64,-5.214,75.992,43.864,87.897,
0.825,448.75,-4.164,75.542,45.064,88.06,
0.942,448.86,-3.864,75.842,44.914,88.228,
1.052,448.98,-4.164,75.542,44.914,87.984,
1.159,449.09,-3.564,75.842,45.514,88.522,
1.31,449.23,-4.914,75.542,44.764,87.946,
1.418,449.34,-4.764,75.542,45.214,88.167,
1.523,449.45,-4.314,75.692,45.214,88.273,
1.639,449.57,-4.014,75.692,45.364,88.336,
1.755,449.68,-4.164,75.692,45.514,88.42,
1.872,449.8,-4.914,75.092,45.664,88.023,
1.991,449.91,-4.614,75.542,45.064,88.083,
2.106,450.03,-3.864,75.092,45.514,87.893,
2.256,450.17,-3.564,75.092,44.164,87.189,
2.366,450.29,-3.714,75.542,45.964,88.504,
2.53,450.39,-4.464,76.592,44.914,88.901,
2.587,450.51,-4.464,75.842,45.664,88.64,
2.698,450.61,-4.614,75.542,44.464,87.777,
2.805,450.73,-4.764,75.842,45.214,88.425,
2.914,450.83,-4.014,74.942,44.314,87.155,
3.066,450.99,-4.464,75.842,44.914,88.256,
3.178,451.09,-4.314,75.392,44.164,87.481,
3.287,451.2,0.336,75.842,45.214,88.297,
3.397,451.31,-4.164,77.342,42.064,88.139,
3.513,451.43,-3.564,75.242,42.364,86.422,
3.624,451.54,-1.464,74.792,42.064,85.821,
3.753,451.66,-9.864,78.092,42.214,89.317,
3.939,451.85,-21.564,79.442,42.514,92.647,
4.047,451.96,-36.114,79.142,41.464,96.368,
4.165,452.07,-47.664,75.092,41.014,97.942,
4.272,452.18,-56.664,70.292,39.514,98.555,
4.381,452.29,-63.414,66.092,39.214,99.635,
4.555,452.4,-68.214,65.492,39.514,102.487,
4.622,452.51,-74.964,61.442,38.164,104.169,
4.763,452.67,-82.164,51.542,35.764,104.452,
4.871,452.78,-88.164,45.842,34.264,105.111,
4.988,452.9,-95.214,34.742,32.314,106.38,
5.103,453.01,-96.564,29.492,32.764,106.15,
5.219,453.13,-93.114,32.342,38.764,105.919,
5.33,453.24,-93.114,33.392,39.064,106.354,
5.437,453.35,-92.814,33.392,38.764,105.981,
5.582,453.49,-92.064,32.942,38.614,105.128,
5.697,453.6,-94.914,34.592,36.514,107.417,
5.812,453.71,-107.964,27.842,35.314,116.955,
5.916,453.82,-119.964,10.442,33.364,124.954,
6.03,453.93,-126.264,-6.358,29.464,129.811,
6.137,454.04,-124.314,-25.558,28.564,130.088,
6.254,454.16,-122.664,-48.208,26.614,134.457,
6.429,454.33,-101.814,-92.908,20.314,139.322,
6.537,454.44,-81.714,-110.458,17.314,138.484,
6.647,454.55,-67.164,-116.608,17.914,134.8,
6.763,454.66,-50.214,-120.358,16.714,131.479,
6.872,454.77,-32.964,-125.458,14.614,130.536,
6.979,454.88,-12.564,-121.558,15.364,123.167,
7.095,454.99,-2.064,-116.008,14.464,116.924,
7.265,455.17,7.686,-109.408,14.464,110.627,
7.381,455.28,15.936,-105.208,16.114,107.621,
7.495,455.39,21.936,-99.208,15.364,102.759,
7.603,455.5,19.236,-101.158,15.664,104.155,
7.712,455.61,20.436,-100.408,15.664,103.656,
7.828,455.73,19.086,-101.308,15.514,104.25,
7.994,455.89,19.086,-100.408,15.364,103.354,
8.096,455.99,21.486,-103.708,17.314,107.316,
8.205,456.1,26.436,-111.658,18.364,116.205,
8.317,456.21,30.636,-111.058,19.114,116.78,
8.428,456.32,40.986,-116.608,19.114,125.07,
