sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
0	4.16	46.986	-12.508	40.564	63.321	1	1	
0.097	4.31	43.236	-13.858	39.364	60.09	1	1	
0.215	4.43	42.636	-13.408	40.564	60.357	1	1	
0.333	4.54	43.836	-13.708	39.664	60.685	1	1	
0.439	4.65	43.086	-13.108	39.964	60.21	1	1	
0.553	4.76	43.386	-13.258	40.864	61.057	1	1	
0.707	4.91	42.486	-13.708	41.014	60.622	1	1	
0.813	5.02	43.386	-13.408	40.264	60.69	1	1	
0.926	5.13	42.636	-13.558	40.864	60.593	1	1	
1.033	5.24	42.786	-13.408	39.514	59.764	1	1	
1.147	5.35	43.386	-13.408	40.864	61.089	1	1	
1.257	5.47	42.186	-12.958	41.164	60.349	1	1	
1.374	5.58	38.136	-11.908	41.014	57.256	1	1	
1.53	5.73	36.336	-11.908	42.364	57.068	1	1	
1.641	5.84	34.836	-10.558	43.864	57	1	1	
1.749	5.95	34.536	-11.758	44.014	57.168	1	1	
1.858	6.06	33.036	-10.108	43.564	55.6	1	1	
1.964	6.17	31.386	-10.108	44.164	55.115	1	1	
2.075	6.28	31.686	-8.908	45.064	55.804	1	1	
2.19	6.39	31.236	-9.358	43.564	54.415	1	1	
2.365	6.56	30.486	-9.958	44.164	54.58	1	1	
2.469	6.67	31.386	-9.058	45.364	55.901	1	1	
2.582	6.78	28.986	-8.608	44.764	54.019	1	1	
2.691	6.89	29.886	-8.008	45.664	55.158	1	1	
2.805	7	30.186	-9.208	44.314	54.403	1	1	
2.916	7.12	37.386	-11.308	39.964	55.881	1	1	
3.031	7.23	39.186	-13.108	39.664	57.276	1	1	
5.134	9.31	135.036	-106.108	45.814	177.742	2	1	
5.228	9.43	133.536	-101.158	55.864	176.594	2	1	
5.341	9.54	132.786	-96.658	61.714	175.452	2	1	
5.453	9.65	132.336	-96.958	62.614	175.596	2	1	
5.569	9.76	132.786	-97.408	62.164	176.025	2	1	
5.687	9.88	132.786	-96.808	61.864	175.587	2	1	
5.848	10.04	132.936	-97.258	62.914	176.321	2	1	
5.963	10.15	132.786	-96.808	62.314	175.746	2	1	
6.072	10.27	132.486	-97.258	63.064	176.036	2	1	
6.184	10.38	131.886	-96.958	61.564	174.885	2	1	
6.3	10.49	131.886	-96.808	61.414	174.749	2	1	
6.406	10.6	132.336	-96.808	61.864	175.247	2	1	
6.562	10.76	132.636	-96.508	62.464	175.521	2	1	
6.7	10.89	132.036	-96.508	61.564	174.749	2	1	
6.806	11	132.636	-96.958	62.314	175.716	2	1	
6.943	11.12	132.036	-96.508	61.864	174.855	2	1	
7.04	11.23	132.186	-96.658	62.614	175.318	2	1	
7.151	11.34	132.936	-96.208	62.914	175.744	2	1	
7.269	11.46	133.086	-96.958	63.064	176.323	2	1	
7.424	11.61	132.186	-96.508	62.314	175.128	2	1	
7.541	11.73	131.736	-97.108	62.314	175.121	2	1	
7.658	11.85	132.036	-96.658	62.164	175.044	2	1	
7.776	11.97	132.336	-96.958	62.464	175.543	2	1	
7.89	12.08	132.186	-96.208	62.764	175.124	2	1	
8.007	12.19	132.336	-97.258	63.514	176.085	2	1	
8.197	12.39	132.636	-95.908	62.764	175.299	2	1	
8.309	12.5	132.636	-96.958	62.614	175.822	2	1	
8.428	12.61	132.336	-97.858	62.164	175.935	2	1	
8.534	12.72	132.036	-96.358	63.214	175.255	2	1	
8.65	12.84	132.486	-96.958	61.414	175.285	2	1	
8.767	12.95	132.336	-97.258	62.764	175.815	2	1	
8.976	13.1	131.886	-96.508	62.914	175.116	2	1	
